borrower_id,scenario,branch,year,window,quarter,kind,obligation_year,cash_out_eur,share_of_working_capital
B001,current_policies,adopted,2034,2034 Q4,4,prepayment,2034,14250.0,0.0035625
B001,current_policies,adopted,2034,2034 settlement by 30 September,,settlement,2033,49020.0,0.012255
B001,current_policies,adopted,2035,2035 Q1,1,prepayment,2035,14250.0,0.0035625
B001,current_policies,adopted,2035,2035 Q2,2,prepayment,2035,14250.0,0.0035625
B001,current_policies,adopted,2035,2035 Q3,3,prepayment,2035,14250.0,0.0035625
B001,current_policies,adopted,2035,2035 Q4,4,prepayment,2035,14250.0,0.0035625
B001,current_policies,adopted,2035,2035 settlement by 30 September,,settlement,2034,57000.0,0.01425
B001,current_policies,adopted,2036,2036 settlement by 30 September,,settlement,2035,57000.0,0.01425
B001,current_policies,proposal,2027,2027 February to September,,block,2026,2850.0,0.0007125000000000007
B001,current_policies,proposal,2027,2027 Q1,1,prepayment,2027,712.5,0.00017812500000000017
B001,current_policies,proposal,2027,2027 Q2,2,prepayment,2027,712.5,0.00017812500000000017
B001,current_policies,proposal,2027,2027 Q3,3,prepayment,2027,712.5,0.00017812500000000017
B001,current_policies,proposal,2027,2027 Q4,4,prepayment,2027,712.5,0.00017812500000000017
B001,current_policies,proposal,2028,2028 Q1,1,prepayment,2028,1425.0,0.00035624999999999996
B001,current_policies,proposal,2028,2028 Q2,2,prepayment,2028,1425.0,0.00035624999999999996
B001,current_policies,proposal,2028,2028 Q3,3,prepayment,2028,1425.0,0.00035624999999999996
B001,current_policies,proposal,2028,2028 Q4,4,prepayment,2028,1425.0,0.00035624999999999996
B001,current_policies,proposal,2028,2028 settlement by 30 September,,settlement,2027,2850.0,0.0007125000000000007
B001,current_policies,proposal,2029,2029 Q1,1,prepayment,2029,2137.5,0.0005343750000000001
B001,current_policies,proposal,2029,2029 Q2,2,prepayment,2029,2137.5,0.0005343750000000001
B001,current_policies,proposal,2029,2029 Q3,3,prepayment,2029,2137.5,0.0005343750000000001
B001,current_policies,proposal,2029,2029 Q4,4,prepayment,2029,2137.5,0.0005343750000000001
B001,current_policies,proposal,2029,2029 settlement by 30 September,,settlement,2028,5700.0,0.0014249999999999998
B001,current_policies,proposal,2030,2030 Q1,1,prepayment,2030,2850.0,0.0007124999999999999
B001,current_policies,proposal,2030,2030 Q2,2,prepayment,2030,2850.0,0.0007124999999999999
B001,current_policies,proposal,2030,2030 Q3,3,prepayment,2030,2850.0,0.0007124999999999999
B001,current_policies,proposal,2030,2030 Q4,4,prepayment,2030,2850.0,0.0007124999999999999
B001,current_policies,proposal,2030,2030 settlement by 30 September,,settlement,2029,8550.0,0.0021375000000000005
B001,current_policies,proposal,2031,2031 Q1,1,prepayment,2031,4275.0,0.0010687500000000003
B001,current_policies,proposal,2031,2031 Q2,2,prepayment,2031,4275.0,0.0010687500000000003
B001,current_policies,proposal,2031,2031 Q3,3,prepayment,2031,4275.0,0.0010687500000000003
B001,current_policies,proposal,2031,2031 Q4,4,prepayment,2031,4275.0,0.0010687500000000003
B001,current_policies,proposal,2031,2031 settlement by 30 September,,settlement,2030,11400.0,0.0028499999999999997
B001,current_policies,proposal,2032,2032 Q1,1,prepayment,2032,5700.0,0.001425
B001,current_policies,proposal,2032,2032 Q2,2,prepayment,2032,5700.0,0.001425
B001,current_policies,proposal,2032,2032 Q3,3,prepayment,2032,5700.0,0.001425
B001,current_policies,proposal,2032,2032 Q4,4,prepayment,2032,5700.0,0.001425
B001,current_policies,proposal,2032,2032 settlement by 30 September,,settlement,2031,17100.0,0.004275000000000001
B001,current_policies,proposal,2033,2033 Q1,1,prepayment,2033,7125.0,0.00178125
B001,current_policies,proposal,2033,2033 Q2,2,prepayment,2033,7125.0,0.00178125
B001,current_policies,proposal,2033,2033 Q3,3,prepayment,2033,7125.0,0.00178125
B001,current_policies,proposal,2033,2033 Q4,4,prepayment,2033,7125.0,0.00178125
B001,current_policies,proposal,2033,2033 settlement by 30 September,,settlement,2032,22800.0,0.0057
B001,current_policies,proposal,2034,2034 Q1,1,prepayment,2034,8550.0,0.0021375
B001,current_policies,proposal,2034,2034 Q2,2,prepayment,2034,8550.0,0.0021375
B001,current_policies,proposal,2034,2034 Q3,3,prepayment,2034,8550.0,0.0021375
B001,current_policies,proposal,2034,2034 Q4,4,prepayment,2034,8550.0,0.0021375
B001,current_policies,proposal,2034,2034 settlement by 30 September,,settlement,2033,28500.0,0.007125
B001,current_policies,proposal,2035,2035 Q1,1,prepayment,2035,9975.0,0.00249375
B001,current_policies,proposal,2035,2035 Q2,2,prepayment,2035,9975.0,0.00249375
B001,current_policies,proposal,2035,2035 Q3,3,prepayment,2035,9975.0,0.00249375
B001,current_policies,proposal,2035,2035 Q4,4,prepayment,2035,9975.0,0.00249375
B001,current_policies,proposal,2035,2035 settlement by 30 September,,settlement,2034,34200.0,0.00855
B001,current_policies,proposal,2036,2036 settlement by 30 September,,settlement,2035,39900.0,0.009975
B001,delayed_transition,adopted,2027,2027 February to September,,block,2026,3800.0,0.0009500000000000008
B001,delayed_transition,adopted,2027,2027 Q1,1,prepayment,2027,950.0,0.0002375000000000002
B001,delayed_transition,adopted,2027,2027 Q2,2,prepayment,2027,950.0,0.0002375000000000002
B001,delayed_transition,adopted,2027,2027 Q3,3,prepayment,2027,950.0,0.0002375000000000002
B001,delayed_transition,adopted,2027,2027 Q4,4,prepayment,2027,950.0,0.0002375000000000002
B001,delayed_transition,adopted,2028,2028 Q1,1,prepayment,2028,1900.0,0.0004749999999999999
B001,delayed_transition,adopted,2028,2028 Q2,2,prepayment,2028,1900.0,0.0004749999999999999
B001,delayed_transition,adopted,2028,2028 Q3,3,prepayment,2028,1900.0,0.0004749999999999999
B001,delayed_transition,adopted,2028,2028 Q4,4,prepayment,2028,1900.0,0.0004749999999999999
B001,delayed_transition,adopted,2028,2028 settlement by 30 September,,settlement,2027,3800.0,0.0009500000000000008
B001,delayed_transition,adopted,2029,2029 Q1,1,prepayment,2029,4275.0,0.00106875
B001,delayed_transition,adopted,2029,2029 Q2,2,prepayment,2029,4275.0,0.00106875
B001,delayed_transition,adopted,2029,2029 Q3,3,prepayment,2029,4275.0,0.00106875
B001,delayed_transition,adopted,2029,2029 Q4,4,prepayment,2029,4275.0,0.00106875
B001,delayed_transition,adopted,2029,2029 settlement by 30 September,,settlement,2028,7600.0,0.0018999999999999996
B001,delayed_transition,adopted,2030,2030 Q1,1,prepayment,2030,9215.0,0.00230375
B001,delayed_transition,adopted,2030,2030 Q2,2,prepayment,2030,9215.0,0.00230375
B001,delayed_transition,adopted,2030,2030 Q3,3,prepayment,2030,9215.0,0.00230375
B001,delayed_transition,adopted,2030,2030 Q4,4,prepayment,2030,9215.0,0.00230375
B001,delayed_transition,adopted,2030,2030 settlement by 30 September,,settlement,2029,17100.0,0.004275
B001,delayed_transition,adopted,2031,2031 Q1,1,prepayment,2031,11590.0,0.0028975
B001,delayed_transition,adopted,2031,2031 Q2,2,prepayment,2031,11590.0,0.0028975
B001,delayed_transition,adopted,2031,2031 Q3,3,prepayment,2031,11590.0,0.0028975
B001,delayed_transition,adopted,2031,2031 Q4,4,prepayment,2031,11590.0,0.0028975
B001,delayed_transition,adopted,2031,2031 settlement by 30 September,,settlement,2030,36860.0,0.009215
B001,delayed_transition,adopted,2032,2032 Q1,1,prepayment,2032,13965.0,0.00349125
B001,delayed_transition,adopted,2032,2032 Q2,2,prepayment,2032,13965.0,0.00349125
B001,delayed_transition,adopted,2032,2032 Q3,3,prepayment,2032,13965.0,0.00349125
B001,delayed_transition,adopted,2032,2032 Q4,4,prepayment,2032,13965.0,0.00349125
B001,delayed_transition,adopted,2032,2032 settlement by 30 September,,settlement,2031,46360.0,0.01159
B001,delayed_transition,adopted,2033,2033 Q1,1,prepayment,2033,16340.0,0.004085
B001,delayed_transition,adopted,2033,2033 Q2,2,prepayment,2033,16340.0,0.004085
B001,delayed_transition,adopted,2033,2033 Q3,3,prepayment,2033,16340.0,0.004085
B001,delayed_transition,adopted,2033,2033 Q4,4,prepayment,2033,16340.0,0.004085
B001,delayed_transition,adopted,2033,2033 settlement by 30 September,,settlement,2032,55860.0,0.013965
B001,delayed_transition,adopted,2034,2034 Q1,1,prepayment,2034,19000.0,0.00475
B001,delayed_transition,adopted,2034,2034 Q2,2,prepayment,2034,19000.0,0.00475
B001,delayed_transition,adopted,2034,2034 Q3,3,prepayment,2034,19000.0,0.00475
B001,delayed_transition,adopted,2034,2034 Q4,4,prepayment,2034,19000.0,0.00475
B001,delayed_transition,adopted,2034,2034 settlement by 30 September,,settlement,2033,65360.0,0.01634
B001,delayed_transition,adopted,2035,2035 Q1,1,prepayment,2035,19000.0,0.00475
B001,delayed_transition,adopted,2035,2035 Q2,2,prepayment,2035,19000.0,0.00475
B001,delayed_transition,adopted,2035,2035 Q3,3,prepayment,2035,19000.0,0.00475
B001,delayed_transition,adopted,2035,2035 Q4,4,prepayment,2035,19000.0,0.00475
B001,delayed_transition,adopted,2035,2035 settlement by 30 September,,settlement,2034,76000.0,0.019
B001,delayed_transition,adopted,2036,2036 settlement by 30 September,,settlement,2035,76000.0,0.019
B001,delayed_transition,proposal,2027,2027 February to September,,block,2026,3800.0,0.0009500000000000008
B001,delayed_transition,proposal,2027,2027 Q1,1,prepayment,2027,950.0,0.0002375000000000002
B001,delayed_transition,proposal,2027,2027 Q2,2,prepayment,2027,950.0,0.0002375000000000002
B001,delayed_transition,proposal,2027,2027 Q3,3,prepayment,2027,950.0,0.0002375000000000002
B001,delayed_transition,proposal,2027,2027 Q4,4,prepayment,2027,950.0,0.0002375000000000002
B001,delayed_transition,proposal,2028,2028 Q1,1,prepayment,2028,1900.0,0.0004749999999999999
B001,delayed_transition,proposal,2028,2028 Q2,2,prepayment,2028,1900.0,0.0004749999999999999
B001,delayed_transition,proposal,2028,2028 Q3,3,prepayment,2028,1900.0,0.0004749999999999999
B001,delayed_transition,proposal,2028,2028 Q4,4,prepayment,2028,1900.0,0.0004749999999999999
B001,delayed_transition,proposal,2028,2028 settlement by 30 September,,settlement,2027,3800.0,0.0009500000000000008
B001,delayed_transition,proposal,2029,2029 Q1,1,prepayment,2029,2850.0,0.0007125000000000001
B001,delayed_transition,proposal,2029,2029 Q2,2,prepayment,2029,2850.0,0.0007125000000000001
B001,delayed_transition,proposal,2029,2029 Q3,3,prepayment,2029,2850.0,0.0007125000000000001
B001,delayed_transition,proposal,2029,2029 Q4,4,prepayment,2029,2850.0,0.0007125000000000001
B001,delayed_transition,proposal,2029,2029 settlement by 30 September,,settlement,2028,7600.0,0.0018999999999999996
B001,delayed_transition,proposal,2030,2030 Q1,1,prepayment,2030,3800.0,0.0009499999999999998
B001,delayed_transition,proposal,2030,2030 Q2,2,prepayment,2030,3800.0,0.0009499999999999998
B001,delayed_transition,proposal,2030,2030 Q3,3,prepayment,2030,3800.0,0.0009499999999999998
B001,delayed_transition,proposal,2030,2030 Q4,4,prepayment,2030,3800.0,0.0009499999999999998
B001,delayed_transition,proposal,2030,2030 settlement by 30 September,,settlement,2029,11400.0,0.0028500000000000005
B001,delayed_transition,proposal,2031,2031 Q1,1,prepayment,2031,5700.0,0.0014250000000000003
B001,delayed_transition,proposal,2031,2031 Q2,2,prepayment,2031,5700.0,0.0014250000000000003
B001,delayed_transition,proposal,2031,2031 Q3,3,prepayment,2031,5700.0,0.0014250000000000003
B001,delayed_transition,proposal,2031,2031 Q4,4,prepayment,2031,5700.0,0.0014250000000000003
B001,delayed_transition,proposal,2031,2031 settlement by 30 September,,settlement,2030,15200.0,0.003799999999999999
B001,delayed_transition,proposal,2032,2032 Q1,1,prepayment,2032,7600.0,0.0019
B001,delayed_transition,proposal,2032,2032 Q2,2,prepayment,2032,7600.0,0.0019
B001,delayed_transition,proposal,2032,2032 Q3,3,prepayment,2032,7600.0,0.0019
B001,delayed_transition,proposal,2032,2032 Q4,4,prepayment,2032,7600.0,0.0019
B001,delayed_transition,proposal,2032,2032 settlement by 30 September,,settlement,2031,22800.0,0.005700000000000001
B001,delayed_transition,proposal,2033,2033 Q1,1,prepayment,2033,9500.0,0.002375
B001,delayed_transition,proposal,2033,2033 Q2,2,prepayment,2033,9500.0,0.002375
B001,delayed_transition,proposal,2033,2033 Q3,3,prepayment,2033,9500.0,0.002375
B001,delayed_transition,proposal,2033,2033 Q4,4,prepayment,2033,9500.0,0.002375
B001,delayed_transition,proposal,2033,2033 settlement by 30 September,,settlement,2032,30400.0,0.0076
B001,delayed_transition,proposal,2034,2034 Q1,1,prepayment,2034,11400.0,0.00285
B001,delayed_transition,proposal,2034,2034 Q2,2,prepayment,2034,11400.0,0.00285
B001,delayed_transition,proposal,2034,2034 Q3,3,prepayment,2034,11400.0,0.00285
B001,delayed_transition,proposal,2034,2034 Q4,4,prepayment,2034,11400.0,0.00285
B001,delayed_transition,proposal,2034,2034 settlement by 30 September,,settlement,2033,38000.0,0.0095
B001,delayed_transition,proposal,2035,2035 Q1,1,prepayment,2035,13300.0,0.003325
B001,delayed_transition,proposal,2035,2035 Q2,2,prepayment,2035,13300.0,0.003325
B001,delayed_transition,proposal,2035,2035 Q3,3,prepayment,2035,13300.0,0.003325
B001,delayed_transition,proposal,2035,2035 Q4,4,prepayment,2035,13300.0,0.003325
B001,delayed_transition,proposal,2035,2035 settlement by 30 September,,settlement,2034,45600.0,0.0114
B001,delayed_transition,proposal,2036,2036 settlement by 30 September,,settlement,2035,53200.0,0.0133
B001,net_zero_2050,adopted,2027,2027 February to September,,block,2026,4750.0,0.001187500000000001
B001,net_zero_2050,adopted,2027,2027 Q1,1,prepayment,2027,1187.5,0.00029687500000000026
B001,net_zero_2050,adopted,2027,2027 Q2,2,prepayment,2027,1187.5,0.00029687500000000026
B001,net_zero_2050,adopted,2027,2027 Q3,3,prepayment,2027,1187.5,0.00029687500000000026
B001,net_zero_2050,adopted,2027,2027 Q4,4,prepayment,2027,1187.5,0.00029687500000000026
B001,net_zero_2050,adopted,2028,2028 Q1,1,prepayment,2028,2375.0,0.0005937499999999999
B001,net_zero_2050,adopted,2028,2028 Q2,2,prepayment,2028,2375.0,0.0005937499999999999
B001,net_zero_2050,adopted,2028,2028 Q3,3,prepayment,2028,2375.0,0.0005937499999999999
B001,net_zero_2050,adopted,2028,2028 Q4,4,prepayment,2028,2375.0,0.0005937499999999999
B001,net_zero_2050,adopted,2028,2028 settlement by 30 September,,settlement,2027,4750.0,0.001187500000000001
B001,net_zero_2050,adopted,2029,2029 Q1,1,prepayment,2029,5343.75,0.0013359374999999997
B001,net_zero_2050,adopted,2029,2029 Q2,2,prepayment,2029,5343.75,0.0013359374999999997
B001,net_zero_2050,adopted,2029,2029 Q3,3,prepayment,2029,5343.75,0.0013359374999999997
B001,net_zero_2050,adopted,2029,2029 Q4,4,prepayment,2029,5343.75,0.0013359374999999997
B001,net_zero_2050,adopted,2029,2029 settlement by 30 September,,settlement,2028,9500.0,0.0023749999999999995
B001,net_zero_2050,adopted,2030,2030 Q1,1,prepayment,2030,11518.75,0.0028796875
B001,net_zero_2050,adopted,2030,2030 Q2,2,prepayment,2030,11518.75,0.0028796875
B001,net_zero_2050,adopted,2030,2030 Q3,3,prepayment,2030,11518.75,0.0028796875
B001,net_zero_2050,adopted,2030,2030 Q4,4,prepayment,2030,11518.75,0.0028796875
B001,net_zero_2050,adopted,2030,2030 settlement by 30 September,,settlement,2029,21375.0,0.005343749999999999
B001,net_zero_2050,adopted,2031,2031 Q1,1,prepayment,2031,14487.5,0.003621875
B001,net_zero_2050,adopted,2031,2031 Q2,2,prepayment,2031,14487.5,0.003621875
B001,net_zero_2050,adopted,2031,2031 Q3,3,prepayment,2031,14487.5,0.003621875
B001,net_zero_2050,adopted,2031,2031 Q4,4,prepayment,2031,14487.5,0.003621875
B001,net_zero_2050,adopted,2031,2031 settlement by 30 September,,settlement,2030,46075.0,0.01151875
B001,net_zero_2050,adopted,2032,2032 Q1,1,prepayment,2032,17456.25,0.0043640625
B001,net_zero_2050,adopted,2032,2032 Q2,2,prepayment,2032,17456.25,0.0043640625
B001,net_zero_2050,adopted,2032,2032 Q3,3,prepayment,2032,17456.25,0.0043640625
B001,net_zero_2050,adopted,2032,2032 Q4,4,prepayment,2032,17456.25,0.0043640625
B001,net_zero_2050,adopted,2032,2032 settlement by 30 September,,settlement,2031,57950.0,0.0144875
B001,net_zero_2050,adopted,2033,2033 Q1,1,prepayment,2033,20425.0,0.00510625
B001,net_zero_2050,adopted,2033,2033 Q2,2,prepayment,2033,20425.0,0.00510625
B001,net_zero_2050,adopted,2033,2033 Q3,3,prepayment,2033,20425.0,0.00510625
B001,net_zero_2050,adopted,2033,2033 Q4,4,prepayment,2033,20425.0,0.00510625
B001,net_zero_2050,adopted,2033,2033 settlement by 30 September,,settlement,2032,69825.0,0.01745625
B001,net_zero_2050,adopted,2034,2034 Q1,1,prepayment,2034,23750.0,0.0059375
B001,net_zero_2050,adopted,2034,2034 Q2,2,prepayment,2034,23750.0,0.0059375
B001,net_zero_2050,adopted,2034,2034 Q3,3,prepayment,2034,23750.0,0.0059375
B001,net_zero_2050,adopted,2034,2034 Q4,4,prepayment,2034,23750.0,0.0059375
B001,net_zero_2050,adopted,2034,2034 settlement by 30 September,,settlement,2033,81700.0,0.020425
B001,net_zero_2050,adopted,2035,2035 Q1,1,prepayment,2035,23750.0,0.0059375
B001,net_zero_2050,adopted,2035,2035 Q2,2,prepayment,2035,23750.0,0.0059375
B001,net_zero_2050,adopted,2035,2035 Q3,3,prepayment,2035,23750.0,0.0059375
B001,net_zero_2050,adopted,2035,2035 Q4,4,prepayment,2035,23750.0,0.0059375
B001,net_zero_2050,adopted,2035,2035 settlement by 30 September,,settlement,2034,95000.0,0.02375
B001,net_zero_2050,adopted,2036,2036 settlement by 30 September,,settlement,2035,95000.0,0.02375
B001,net_zero_2050,proposal,2027,2027 February to September,,block,2026,4750.0,0.001187500000000001
B001,net_zero_2050,proposal,2027,2027 Q1,1,prepayment,2027,1187.5,0.00029687500000000026
B001,net_zero_2050,proposal,2027,2027 Q2,2,prepayment,2027,1187.5,0.00029687500000000026
B001,net_zero_2050,proposal,2027,2027 Q3,3,prepayment,2027,1187.5,0.00029687500000000026
B001,net_zero_2050,proposal,2027,2027 Q4,4,prepayment,2027,1187.5,0.00029687500000000026
B001,net_zero_2050,proposal,2028,2028 Q1,1,prepayment,2028,2375.0,0.0005937499999999999
B001,net_zero_2050,proposal,2028,2028 Q2,2,prepayment,2028,2375.0,0.0005937499999999999
B001,net_zero_2050,proposal,2028,2028 Q3,3,prepayment,2028,2375.0,0.0005937499999999999
B001,net_zero_2050,proposal,2028,2028 Q4,4,prepayment,2028,2375.0,0.0005937499999999999
B001,net_zero_2050,proposal,2028,2028 settlement by 30 September,,settlement,2027,4750.0,0.001187500000000001
B001,net_zero_2050,proposal,2029,2029 Q1,1,prepayment,2029,3562.5,0.0008906250000000001
B001,net_zero_2050,proposal,2029,2029 Q2,2,prepayment,2029,3562.5,0.0008906250000000001
B001,net_zero_2050,proposal,2029,2029 Q3,3,prepayment,2029,3562.5,0.0008906250000000001
B001,net_zero_2050,proposal,2029,2029 Q4,4,prepayment,2029,3562.5,0.0008906250000000001
B001,net_zero_2050,proposal,2029,2029 settlement by 30 September,,settlement,2028,9500.0,0.0023749999999999995
B001,net_zero_2050,proposal,2030,2030 Q1,1,prepayment,2030,4750.0,0.0011874999999999998
B001,net_zero_2050,proposal,2030,2030 Q2,2,prepayment,2030,4750.0,0.0011874999999999998
B001,net_zero_2050,proposal,2030,2030 Q3,3,prepayment,2030,4750.0,0.0011874999999999998
B001,net_zero_2050,proposal,2030,2030 Q4,4,prepayment,2030,4750.0,0.0011874999999999998
B001,net_zero_2050,proposal,2030,2030 settlement by 30 September,,settlement,2029,14250.0,0.0035625000000000006
B001,net_zero_2050,proposal,2031,2031 Q1,1,prepayment,2031,7125.0,0.0017812500000000003
B001,net_zero_2050,proposal,2031,2031 Q2,2,prepayment,2031,7125.0,0.0017812500000000003
B001,net_zero_2050,proposal,2031,2031 Q3,3,prepayment,2031,7125.0,0.0017812500000000003
B001,net_zero_2050,proposal,2031,2031 Q4,4,prepayment,2031,7125.0,0.0017812500000000003
B001,net_zero_2050,proposal,2031,2031 settlement by 30 September,,settlement,2030,19000.0,0.004749999999999999
B001,net_zero_2050,proposal,2032,2032 Q1,1,prepayment,2032,9500.0,0.002375
B001,net_zero_2050,proposal,2032,2032 Q2,2,prepayment,2032,9500.0,0.002375
B001,net_zero_2050,proposal,2032,2032 Q3,3,prepayment,2032,9500.0,0.002375
B001,net_zero_2050,proposal,2032,2032 Q4,4,prepayment,2032,9500.0,0.002375
B001,net_zero_2050,proposal,2032,2032 settlement by 30 September,,settlement,2031,28500.0,0.007125000000000001
B001,net_zero_2050,proposal,2033,2033 Q1,1,prepayment,2033,11875.0,0.00296875
B001,net_zero_2050,proposal,2033,2033 Q2,2,prepayment,2033,11875.0,0.00296875
B001,net_zero_2050,proposal,2033,2033 Q3,3,prepayment,2033,11875.0,0.00296875
B001,net_zero_2050,proposal,2033,2033 Q4,4,prepayment,2033,11875.0,0.00296875
B001,net_zero_2050,proposal,2033,2033 settlement by 30 September,,settlement,2032,38000.0,0.0095
B001,net_zero_2050,proposal,2034,2034 Q1,1,prepayment,2034,14250.0,0.0035625
B001,net_zero_2050,proposal,2034,2034 Q2,2,prepayment,2034,14250.0,0.0035625
B001,net_zero_2050,proposal,2034,2034 Q3,3,prepayment,2034,14250.0,0.0035625
B001,net_zero_2050,proposal,2034,2034 Q4,4,prepayment,2034,14250.0,0.0035625
B001,net_zero_2050,proposal,2034,2034 settlement by 30 September,,settlement,2033,47500.0,0.011875
B001,net_zero_2050,proposal,2035,2035 Q1,1,prepayment,2035,16625.0,0.00415625
B001,net_zero_2050,proposal,2035,2035 Q2,2,prepayment,2035,16625.0,0.00415625
B001,net_zero_2050,proposal,2035,2035 Q3,3,prepayment,2035,16625.0,0.00415625
B001,net_zero_2050,proposal,2035,2035 Q4,4,prepayment,2035,16625.0,0.00415625
B001,net_zero_2050,proposal,2035,2035 settlement by 30 September,,settlement,2034,57000.0,0.01425
B001,net_zero_2050,proposal,2036,2036 settlement by 30 September,,settlement,2035,66500.0,0.016625
B002,current_policies,adopted,2027,2027 February to September,,block,2026,12000.0,0.006000000000000005
B002,current_policies,adopted,2027,2027 Q1,1,prepayment,2027,3000.0,0.0015000000000000013
B002,current_policies,adopted,2027,2027 Q2,2,prepayment,2027,3000.0,0.0015000000000000013
B002,current_policies,adopted,2027,2027 Q3,3,prepayment,2027,3000.0,0.0015000000000000013
B002,current_policies,adopted,2027,2027 Q4,4,prepayment,2027,3000.0,0.0015000000000000013
B002,current_policies,adopted,2028,2028 Q1,1,prepayment,2028,6000.0,0.0029999999999999996
B002,current_policies,adopted,2028,2028 Q2,2,prepayment,2028,6000.0,0.0029999999999999996
B002,current_policies,adopted,2028,2028 Q3,3,prepayment,2028,6000.0,0.0029999999999999996
B002,current_policies,adopted,2028,2028 Q4,4,prepayment,2028,6000.0,0.0029999999999999996
B002,current_policies,adopted,2028,2028 settlement by 30 September,,settlement,2027,12000.0,0.006000000000000005
B002,current_policies,adopted,2029,2029 Q1,1,prepayment,2029,13500.0,0.006749999999999999
B002,current_policies,adopted,2029,2029 Q2,2,prepayment,2029,13500.0,0.006749999999999999
B002,current_policies,adopted,2029,2029 Q3,3,prepayment,2029,13500.0,0.006749999999999999
B002,current_policies,adopted,2029,2029 Q4,4,prepayment,2029,13500.0,0.006749999999999999
B002,current_policies,adopted,2029,2029 settlement by 30 September,,settlement,2028,24000.0,0.011999999999999999
B002,current_policies,adopted,2030,2030 Q1,1,prepayment,2030,29100.0,0.01455
B002,current_policies,adopted,2030,2030 Q2,2,prepayment,2030,29100.0,0.01455
B002,current_policies,adopted,2030,2030 Q3,3,prepayment,2030,29100.0,0.01455
B002,current_policies,adopted,2030,2030 Q4,4,prepayment,2030,29100.0,0.01455
B002,current_policies,adopted,2030,2030 settlement by 30 September,,settlement,2029,54000.0,0.026999999999999996
B002,current_policies,adopted,2031,2031 Q1,1,prepayment,2031,36600.0,0.0183
B002,current_policies,adopted,2031,2031 Q2,2,prepayment,2031,36600.0,0.0183
