factor_id,source_class,activity,unit,gas,value_primary,source_primary,vintage_primary,value_crosscheck,source_crosscheck,vintage_crosscheck,deviation_pct,flags,notes
fuel_petrol_ch4_per_tonne,fuel,Petrol / motor gasoline,kg CH4 per tonne,CH4,0.443,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.3944,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-10.97,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Motor gasoline2'; NCV 44.3 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_petrol_n2o_per_tonne,fuel,Petrol / motor gasoline,kg N2O per tonne,N2O,0.02658,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.0303356,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",14.13,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Motor gasoline2'; NCV 44.3 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_natural_gas_co2_per_m3,fuel,Natural gas,kg CO2 per m3,CO2,1.88496,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),2.04585,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",8.54,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 1, fuel 'Natural gas4'; NCV 48 TJ/Gg (net/lower heating value basis). GHGP gas density 0.7 kg/m3. Cross-check: DEFRA 2026 Fuels, 'natural gas (100% mineral blend)', cubic metres, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_natural_gas_ch4_per_m3,fuel,Natural gas,kg CH4 per m3,CH4,0.000168,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.000109643,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-34.74,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Natural gas4'; NCV 48 TJ/Gg (net/lower heating value basis). GHGP gas density 0.7 kg/m3. Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per cubic metre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_natural_gas_n2o_per_m3,fuel,Natural gas,kg N2O per m3,N2O,3.36e-06,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),3.58491e-06,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",6.69,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Natural gas4'; NCV 48 TJ/Gg (net/lower heating value basis). GHGP gas density 0.7 kg/m3. Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per cubic metre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_natural_gas_co2_per_tonne,fuel,Natural gas,kg CO2 per tonne,CO2,2692.8,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),2531.81,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-5.98,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 1, fuel 'Natural gas4'; NCV 48 TJ/Gg (net/lower heating value basis). Cross-check: DEFRA 2026 Fuels, 'natural gas (100% mineral blend)', tonnes, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_natural_gas_ch4_per_tonne,fuel,Natural gas,kg CH4 per tonne,CH4,0.24,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.1376,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-42.67,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Natural gas4'; NCV 48 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_natural_gas_n2o_per_tonne,fuel,Natural gas,kg N2O per tonne,N2O,0.0048,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.00449664,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-6.32,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Natural gas4'; NCV 48 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_lpg_co2_per_litre,fuel,LPG,kg CO2 per litre,CO2,1.47306,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),1.55491,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",5.56,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 1, fuel 'Liquified Petroleum Gases'; NCV 47.3 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.49355 kg/litre. Cross-check: DEFRA 2026 Fuels, 'lpg', litres, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_lpg_ch4_per_litre,fuel,LPG,kg CH4 per litre,CH4,0.000116724,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),4.85714e-05,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-58.39,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Liquified Petroleum Gases'; NCV 47.3 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.49355 kg/litre. Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_lpg_n2o_per_litre,fuel,LPG,kg N2O per litre,N2O,2.33448e-06,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),3.24528e-06,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",39.02,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Liquified Petroleum Gases'; NCV 47.3 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.49355 kg/litre. Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_lpg_co2_per_tonne,fuel,LPG,kg CO2 per tonne,CO2,2984.63,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),2935.18,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-1.66,tier1-default,"GHGP Stationary Combustion Table 1, fuel 'Liquified Petroleum Gases'; NCV 47.3 TJ/Gg (net/lower heating value basis). Cross-check: DEFRA 2026 Fuels, 'lpg', tonnes, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_lpg_ch4_per_tonne,fuel,LPG,kg CH4 per tonne,CH4,0.2365,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.0912,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-61.44,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Liquified Petroleum Gases'; NCV 47.3 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_lpg_n2o_per_tonne,fuel,LPG,kg N2O per tonne,N2O,0.00473,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.00614094,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",29.83,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Liquified Petroleum Gases'; NCV 47.3 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_fuel_oil_co2_per_litre,fuel,Fuel oil (residual / furnace oil),kg CO2 per litre,CO2,3.00527,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),3.16262,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",5.24,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 1, fuel 'Residual fuel oil3'; NCV 40.4 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.96108 kg/litre. Cross-check: DEFRA 2026 Fuels, 'fuel oil', litres, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_fuel_oil_ch4_per_litre,fuel,Fuel oil (residual / furnace oil),kg CH4 per litre,CH4,0.000388278,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.000189286,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-51.25,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Residual fuel oil3'; NCV 40.4 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.96108 kg/litre. Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_fuel_oil_n2o_per_litre,fuel,Fuel oil (residual / furnace oil),kg N2O per litre,N2O,2.32967e-05,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),2.64528e-05,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",13.55,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Residual fuel oil3'; NCV 40.4 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.96108 kg/litre. Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_fuel_oil_co2_per_tonne,fuel,Fuel oil (residual / furnace oil),kg CO2 per tonne,CO2,3126.96,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),3216.38,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",2.86,tier1-default,"GHGP Stationary Combustion Table 1, fuel 'Residual fuel oil3'; NCV 40.4 TJ/Gg (net/lower heating value basis). Cross-check: DEFRA 2026 Fuels, 'fuel oil', tonnes, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_fuel_oil_ch4_per_tonne,fuel,Fuel oil (residual / furnace oil),kg CH4 per tonne,CH4,0.404,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.1924,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-52.38,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Residual fuel oil3'; NCV 40.4 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_fuel_oil_n2o_per_tonne,fuel,Fuel oil (residual / furnace oil),kg N2O per tonne,N2O,0.02424,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.0268792,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",10.89,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Residual fuel oil3'; NCV 40.4 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_coal_bituminous_co2_per_tonne,fuel,Bituminous / steam coal,kg CO2 per tonne,CO2,2440.68,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),2390.47,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-2.06,tier1-default,"GHGP Stationary Combustion Table 1, fuel 'Other bituminous coal'; NCV 25.8 TJ/Gg (net/lower heating value basis). Cross-check: DEFRA 2026 Fuels, 'coal (industrial)', tonnes, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_coal_bituminous_ch4_per_tonne,fuel,Bituminous / steam coal,kg CH4 per tonne,CH4,0.258,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.2728,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",5.74,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Other bituminous coal'; NCV 25.8 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_coal_bituminous_n2o_per_tonne,fuel,Bituminous / steam coal,kg N2O per tonne,N2O,0.0387,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.0638926,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",65.10,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Other bituminous coal'; NCV 25.8 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_lignite_co2_per_tonne,fuel,Lignite,kg CO2 per tonne,CO2,1201.9,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),,,,,tier1-default,"GHGP Stationary Combustion Table 1, fuel 'Lignite'; NCV 11.9 TJ/Gg (net/lower heating value basis). DEFRA 2026 publishes no lignite/brown-coal factor; cross-check left empty."
fuel_lignite_ch4_per_tonne,fuel,Lignite,kg CH4 per tonne,CH4,0.119,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),,,,,tier1-default,"GHGP Stationary Combustion Table 2, fuel 'Lignite'; NCV 11.9 TJ/Gg (net/lower heating value basis). DEFRA 2026 publishes no lignite/brown-coal factor; cross-check left empty."
fuel_lignite_n2o_per_tonne,fuel,Lignite,kg N2O per tonne,N2O,0.01785,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),,,,,tier1-default,"GHGP Stationary Combustion Table 3, fuel 'Lignite'; NCV 11.9 TJ/Gg (net/lower heating value basis). DEFRA 2026 publishes no lignite/brown-coal factor; cross-check left empty."
fuel_pet_coke_co2_per_tonne,fuel,Petroleum coke,kg CO2 per tonne,CO2,3168.75,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),3377.05,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",6.57,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 1, fuel 'Petroleum coke'; NCV 32.5 TJ/Gg (net/lower heating value basis). Cross-check: DEFRA 2026 Fuels, 'petroleum coke', tonnes, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_pet_coke_ch4_per_tonne,fuel,Petroleum coke,kg CH4 per tonne,CH4,0.325,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.1368,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-57.91,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Petroleum coke'; NCV 32.5 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
